repas;food;;basic, food
restaurant;restaurant;;basic, food
bar;bar;;basic, food
menu;menu;;basic, food
entrée;starter;;basic, food
plat principal;main course;;basic, food
dessert;dessert;;basic, food
addition;bill;;basic, food
végétarienne;vegetarian;;basic, food
végétarien;vegetarian;;basic, food
végan;vegan;;basic, food
sans gluten;gluten-free;;basic, food
poisson ;fish ;;basic, food
viande;meat;;basic, food
salade;salad;;basic, food
lait;milk;;basic, food
fromage;cheese;;basic, food
fruits;fruits;;basic, food
légumes;vegetables;;basic, food
noix;nuts;;basic, food
café;coffee;;basic, food
thé ;tea ;;basic, food
eau;water;;basic, food
vin;wine;;basic, food
bière ;beer ;;basic, food
sans alcool;non-alcoholic;;basic, food
À ta santé;Cheers;;basic, food